Latitude,Longitude,Sample Date,nir,green,red,blue,swir16,swir22,Chlorophyll_Proxy,BSI,SAVI,AWEI_nsh,AWEI_sh,NRI,Turbidity_Index,NDVI,MNDWI,NDMI,NDTI,EVI,NDBI,NBR
-34.405833,19.600556,2011-07-06,,,,,,,,,,,,,,,,,,,,
-34.405833,19.600556,2011-08-02,15064.5,9899.5,10479.5,9162.0,17232.5,14168.5,0.1794942060757901,0.0671082145229452,0.2692360390690745,-72061.5,-18076.875,-0.0284606702978554,1.1438004802444757,0.1794942060757901,-0.2702712664012964,-0.0671269777378701,0.0284606702978554,1.2422107829856273,0.0671269777378701,0.0306502924776792
-34.405833,19.600556,2011-08-30,6635.5,4251.0,4208.0,4019.5,6034.5,4820.5,0.2238668326647279,-0.0197392032539776,0.3357847657690858,-22049.25,-5563.125,0.0050833431847735,1.0468963801467583,0.2238668326647279,-0.1733994458217862,0.0474348855564321,-0.0050833431847735,3.4912987199767875,-0.0474348855564321,0.158432262569831
-34.405833,19.600556,2011-09-27,18317.0,9145.5,8971.5,8456.0,13913.5,10727.5,0.3424702713597291,-0.0782955415038864,0.5136959947231468,-53151.875,-19707.875,0.0096042391124357,1.060962630085134,0.3424702713597291,-0.206773927750552,0.1366252462729398,-0.0096042391124357,2.6771800160421373,-0.1366252462729398,0.2613059271118447
-34.405833,19.600556,2011-10-27,18317.0,9145.5,8971.5,8456.0,13913.5,10727.5,0.3424702713597291,-0.0782955415038864,0.5136959947231468,-53151.875,-19707.875,0.0096042391124357,1.060962630085134,0.3424702713597291,-0.206773927750552,0.1366252462729398,-0.0096042391124357,2.6771800160421373,-0.1366252462729398,0.2613059271118447
-34.405833,19.600556,2012-06-20,,,,,,,,,,,,,,,,,,,,
-34.405833,19.600556,2012-07-18,,,,,,,,,,,,,,,,,,,,
-34.405833,19.600556,2012-08-15,,,,,,,,,,,,,,,,,,,,
-34.405833,19.600556,2012-09-12,,,,,,,,,,,,,,,,,,,,
-34.405833,19.600556,2012-10-10,,,,,,,,,,,,,,,,,,,,
-34.405833,19.600556,2012-11-07,,,,,,,,,,,,,,,,,,,,
-34.405833,19.600556,2012-11-28,,,,,,,,,,,,,,,,,,,,
