Latitude,Longitude,Sample Date,pet,aet,ppt,tmax,tmin,q,soil,swe,def,pdsi,vap,vpd,ws,srad
-34.405833,19.600556,2011-07-06,158.7,21.2,20.3,24.16,13.9,1.0,9.0,0.0,137.5,-2.95,1.4440001,0.87,2.9099998,315.9996
-34.405833,19.600556,2011-08-02,174.1,9.8,8.9,27.539999,17.19,0.4,7.7000003,0.0,164.3,-3.28,1.9030001,0.93,3.6799998,320.29883
-34.405833,19.600556,2011-08-30,174.1,9.8,8.9,27.539999,17.19,0.4,7.7000003,0.0,164.3,-3.28,1.9030001,0.93,3.6799998,320.29883
-34.405833,19.600556,2011-09-27,174.1,9.8,8.9,27.539999,17.19,0.4,7.7000003,0.0,164.3,-3.28,1.9030001,0.93,3.6799998,320.29883
-34.405833,19.600556,2011-10-27,174.1,9.8,8.9,27.539999,17.19,0.4,7.7000003,0.0,164.3,-3.28,1.9030001,0.93,3.6799998,320.29883
-34.405833,19.600556,2012-06-20,161.7,11.3,8.9,25.81,15.71,0.4,10.5,0.0,150.40001,-0.48999998,1.7630001,0.79999995,3.27,316.704
-34.405833,19.600556,2012-07-18,168.7,25.6,25.1,26.22,16.47,1.3,8.7,0.0,143.1,-1.0,1.8230001,0.83,4.12,319.89648
-34.405833,19.600556,2012-08-15,168.7,25.6,25.1,26.22,16.47,1.3,8.7,0.0,143.1,-1.0,1.8230001,0.83,4.12,319.89648
-34.405833,19.600556,2012-09-12,168.7,25.6,25.1,26.22,16.47,1.3,8.7,0.0,143.1,-1.0,1.8230001,0.83,4.12,319.89648
-34.405833,19.600556,2012-10-10,168.7,25.6,25.1,26.22,16.47,1.3,8.7,0.0,143.1,-1.0,1.8230001,0.83,4.12,319.89648
-34.405833,19.600556,2012-11-07,168.7,25.6,25.1,26.22,16.47,1.3,8.7,0.0,143.1,-1.0,1.8230001,0.83,4.12,319.89648
-34.405833,19.600556,2012-11-28,168.7,25.6,25.1,26.22,16.47,1.3,8.7,0.0,143.1,-1.0,1.8230001,0.83,4.12,319.89648
-34.405833,19.600556,2013-01-16,162.8,11.5,8.9,25.57,15.29,0.4,10.8,0.0,151.3,1.02,1.7030001,0.81,3.1899998,320.0006
-34.405833,19.600556,2013-02-13,162.8,11.5,8.9,25.57,15.29,0.4,10.8,0.0,151.3,1.02,1.7030001,0.81,3.1899998,320.0006
-34.405833,19.600556,2013-03-13,162.8,11.5,8.9,25.57,15.29,0.4,10.8,0.0,151.3,1.02,1.7030001,0.81,3.1899998,320.0006
-34.405833,19.600556,2013-04-10,162.8,11.5,8.9,25.57,15.29,0.4,10.8,0.0,151.3,1.02,1.7030001,0.81,3.1899998,320.0006
-34.405833,19.600556,2013-05-08,162.8,11.5,8.9,25.57,15.29,0.4,10.8,0.0,151.3,1.02,1.7030001,0.81,3.1899998,320.0006
-34.405833,19.600556,2013-06-05,162.8,11.5,8.9,25.57,15.29,0.4,10.8,0.0,151.3,1.02,1.7030001,0.81,3.1899998,320.0006
-34.405833,19.600556,2013-07-03,162.8,11.5,8.9,25.57,15.29,0.4,10.8,0.0,151.3,1.02,1.7030001,0.81,3.1899998,320.0006
-34.405833,19.600556,2013-07-31,156.6,53.0,53.800000000000004,26.449999,17.199999,2.7,8.900001,0.0,103.6,1.68,1.8950001,0.82,3.1799998,294.90097
-34.405833,19.600556,2013-08-28,156.6,53.0,53.800000000000004,26.449999,17.199999,2.7,8.900001,0.0,103.6,1.68,1.8950001,0.82,3.1799998,294.90097
-34.405833,19.600556,2013-09-25,156.6,53.0,53.800000000000004,26.449999,17.199999,2.7,8.900001,0.0,103.6,1.68,1.8950001,0.82,3.1799998,294.90097
-34.405833,19.600556,2013-10-23,156.6,53.0,53.800000000000004,26.449999,17.199999,2.7,8.900001,0.0,103.6,1.68,1.8950001,0.82,3.1799998,294.90097
-34.405833,19.600556,2013-11-21,156.6,53.0,53.800000000000004,26.449999,17.199999,2.7,8.900001,0.0,103.6,1.68,1.8950001,0.82,3.1799998,294.90097
-34.405833,19.600556,2014-01-22,158.3,5.0,3.2,25.16,14.839999,0.2,9.0,0.0,153.3,-2.51,1.644,0.81,3.06,312.00073
-34.405833,19.600556,2014-02-12,158.3,5.0,3.2,25.16,14.839999,0.2,9.0,0.0,153.3,-2.51,1.644,0.81,3.06,312.00073
-34.405833,19.600556,2014-03-12,158.3,5.0,3.2,25.16,14.839999,0.2,9.0,0.0,153.3,-2.51,1.644,0.81,3.06,312.00073
-34.405833,19.600556,2014-05-21,158.3,5.0,3.2,25.16,14.839999,0.2,9.0,0.0,153.3,-2.51,1.644,0.81,3.06,312.00073
-34.405833,19.600556,2014-06-25,158.3,5.0,3.2,25.16,14.839999,0.2,9.0,0.0,153.3,-2.51,1.644,0.81,3.06,312.00073
-34.405833,19.600556,2014-07-31,173.0,23.7,23.6,27.0,16.4,1.2000000000000002,7.7000003,0.0,149.3,-2.45,1.8320001,0.89,4.0,318.99948
-34.405833,19.600556,2014-09-03,173.0,23.7,23.6,27.0,16.4,1.2000000000000002,7.7000003,0.0,149.3,-2.45,1.8320001,0.89,4.0,318.99948
-34.405833,19.600556,2014-10-01,173.0,23.7,23.6,27.0,16.4,1.2000000000000002,7.7000003,0.0,149.3,-2.45,1.8320001,0.89,4.0,318.99948
-34.405833,19.600556,2014-10-29,173.0,23.7,23.6,27.0,16.4,1.2000000000000002,7.7000003,0.0,149.3,-2.45,1.8320001,0.89,4.0,318.99948
